gw1n4-024,GW1N-UV4QN88C5/I4,GW1N,GW1N-4,QFN88,GW1N-4/QFN88.json
gw1n4-025,GW1N-UV4QN88A4,GW1N,GW1N-4,QFN88,GW1N-4/QFN88.json
gw1n4-026,GW1N-UV4CS72C6/I5,GW1N,GW1N-4,WLCSP72,GW1N-4/WLCSP72.json
gw1n4-027,GW1N-UV4CS72C5/I4,GW1N,GW1N-4,WLCSP72,GW1N-4/WLCSP72.json
gw1n4-028,GW1N-UV4LQ100C6/I5,GW1N,GW1N-4,LQFP100,GW1N-4/LQFP100.json
gw1n4-029,GW1N-UV4LQ100C5/I4,GW1N,GW1N-4,LQFP100,GW1N-4/LQFP100.json
gw1n4-030,GW1N-UV4LQ144C6/I5,GW1N,GW1N-4,LQFP144,GW1N-4/LQFP144.json
gw1n4-031,GW1N-UV4LQ144C5/I4,GW1N,GW1N-4,LQFP144,GW1N-4/LQFP144.json
gw1n4-032,GW1N-UV4MG160C6/I5,GW1N,GW1N-4,MBGA160,GW1N-4/MBGA160.json
gw1n4-033,GW1N-UV4MG160C5/I4,GW1N,GW1N-4,MBGA160,GW1N-4/MBGA160.json
